,text,location,entities
10,"LÉGISLATIVES : POURQUOI MACRON PEUT PERDRE, POURQUOI MÉLENCHON PEUT GAGNER

➡️ https://t.co/9MUEF8rQlL… https://t.co/UP0yFct6ja",France,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9MUEF8rQlL', 'expanded_url': 'https://youtu.be/2VHh-7wYU9k', 'display_url': 'youtu.be/2VHh-7wYU9k', 'indices': [79, 102]}, {'url': 'https://t.co/UP0yFct6ja', 'expanded_url': 'https://twitter.com/i/web/status/1519011036610838528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}"
11,"@petzouille9 @Mediapart @FannyMarlier @didierjodin Jodin s'affiche CLAIREMENT anti Macron.
Ça explique peut-être ...","Sud-Finistère, France","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'petzouille9', 'name': 'petzouille', 'id': 994328610772279297, 'id_str': '994328610772279297', 'indices': [0, 12]}, {'screen_name': 'Mediapart', 'name': 'Mediapart', 'id': 19976004, 'id_str': '19976004', 'indices': [13, 23]}, {'screen_name': 'FannyMarlier', 'name': 'Fanny Marlier', 'id': 1142773346, 'id_str': '1142773346', 'indices': [24, 37]}, {'screen_name': 'didierjodin', 'name': 'Didier Jodin', 'id': 252486107, 'id_str': '252486107', 'indices': [38, 50]}], 'urls': []}"
12,@InfosEducation Elle a été inspectée quand elle a séduit le petit Macron ?,France Saoudite,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'InfosEducation', 'name': 'Education & Formation', 'id': 973987399, 'id_str': '973987399', 'indices': [0, 15]}], 'urls': []}"
13,"On va être clair : 
Si Mélenchon n'a pas été au second tour c'est : 
- a cause de ses positions ambiguës sur Poutin… https://t.co/wIo3r7pin1",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wIo3r7pin1', 'expanded_url': 'https://twitter.com/i/web/status/1519011033049878535', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
14,"@Sante_Gouv Les élections passées, le Macron passé et tout recommence. Ils n'ont pas tardé...",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sante_Gouv', 'name': 'Ministère des Solidarités et de la Santé 🇫🇷 🇪🇺', 'id': 109263459, 'id_str': '109263459', 'indices': [0, 11]}], 'urls': []}"
15,"@AlexDeRubempre Le #RN t devant une défaite historique
Elever les 6% de Reconquête, les 18% de LFI et pour être gen… https://t.co/cdv9I9mcMh",,"{'hashtags': [{'text': 'RN', 'indices': [19, 22]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AlexDeRubempre', 'name': 'Alexandre De Rubempré ⓩ', 'id': 1496928067004080134, 'id_str': '1496928067004080134', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/cdv9I9mcMh', 'expanded_url': 'https://twitter.com/i/web/status/1519011029811929096', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
16,@BrunoMasure @EmmanuelMacron Édouard Philippe et en 2032 Macron ce représentera,Villard les dombes,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrunoMasure', 'name': 'bruno masure🇪🇺🇺🇦', 'id': 556711910, 'id_str': '556711910', 'indices': [0, 12]}, {'screen_name': 'EmmanuelMacron', 'name': 'Emmanuel Macron', 'id': 1976143068, 'id_str': '1976143068', 'indices': [13, 28]}], 'urls': []}"
17,"@benjaminhaddad elle a la mémoire sélective, et  zemmour même question je ne m'en souviens pas",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'benjaminhaddad', 'name': 'Benjamin Haddad 🇫🇷 🇪🇺 🇺🇦', 'id': 116402625, 'id_str': '116402625', 'indices': [0, 15]}], 'urls': []}"
18,"@kamrxsen @MonsiieurHenri @CharlesLeSeul Voter macron, c'est voter l'euthanasie, le mariage pour tous, l'avortement… https://t.co/6jd0zTlrY8",Bretagne,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kamrxsen', 'name': 'cam ✨', 'id': 1036028007213883392, 'id_str': '1036028007213883392', 'indices': [0, 9]}, {'screen_name': 'MonsiieurHenri', 'name': 'Niico ⚜️🇫🇷✝️', 'id': 780150001095835650, 'id_str': '780150001095835650', 'indices': [10, 25]}, {'screen_name': 'CharlesLeSeul', 'name': 'Carolus', 'id': 1305897295007944705, 'id_str': '1305897295007944705', 'indices': [26, 40]}], 'urls': [{'url': 'https://t.co/6jd0zTlrY8', 'expanded_url': 'https://twitter.com/i/web/status/1519011019053580289', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
19,@Qofficiel Macron va avoir les pleins pouvoirs grace à la gauche qui a appelé à voter pour lui,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Qofficiel', 'name': 'Quotidien', 'id': 743432061088899073, 'id_str': '743432061088899073', 'indices': [0, 10]}], 'urls': []}"
